日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时34分57秒,N 40.47.649度,E 111.41.719度,1058m,16.2976km/s,9,338.4度
2017年10月05日,9小时34分58秒,N 40.47.651度,E 111.41.718度,1058m,15.7420km/s,9,340.7度
2017年10月05日,9小时34分59秒,N 40.47.654度,E 111.41.717度,1058m,18.5200km/s,10,343.2度
2017年10月05日,9小时35分0秒,N 40.47.657度,E 111.41.716度,1058m,22.0388km/s,10,345.1度
2017年10月05日,9小时35分1秒,N 40.47.660度,E 111.41.715度,1057m,22.7796km/s,10,345.6度
2017年10月05日,9小时35分2秒,N 40.47.664度,E 111.41.714度,1057m,22.2240km/s,10,346.5度
2017年10月05日,9小时35分3秒,N 40.47.667度,E 111.41.713度,1057m,23.8908km/s,10,345.5度
2017年10月05日,9小时35分4秒,N 40.47.670度,E 111.41.711度,1058m,22.7796km/s,9,343.8度
2017年10月05日,9小时35分5秒,N 40.47.674度,E 111.41.709度,1057m,22.9648km/s,10,342.7度
2017年10月05日,9小时35分6秒,N 40.47.677度,E 111.41.708度,1057m,22.4092km/s,9,342.1度
2017年10月05日,9小时35分7秒,N 40.47.680度,E 111.41.707度,1057m,21.8536km/s,9,341.1度
2017年10月05日,9小时35分8秒,N 40.47.683度,E 111.41.705度,1057m,20.9276km/s,9,340.8度
2017年10月05日,9小时35分9秒,N 40.47.686度,E 111.41.704度,1057m,17.5940km/s,9,341.0度
2017年10月05日,9小时35分10秒,N 40.47.688度,E 111.41.704度,1058m,16.4828km/s,9,340.9度
2017年10月05日,9小时35分11秒,N 40.47.690度,E 111.41.703度,1058m,16.6680km/s,9,341.5度
2017年10月05日,9小时35分12秒,N 40.47.693度,E 111.41.702度,1057m,17.4088km/s,9,342.1度
2017年10月05日,9小时35分13秒,N 40.47.695度,E 111.41.701度,1057m,15.3716km/s,9,343.1度
2017年10月05日,9小时35分14秒,N 40.47.697度,E 111.41.701度,1057m,11.1120km/s,9,342.0度
2017年10月05日,9小时35分15秒,N 40.47.699度,E 111.41.700度,1057m,9.8156km/s,9,341.7度
2017年10月05日,9小时35分16秒,N 40.47.700度,E 111.41.700度,1056m,9.0748km/s,9,343.9度
2017年10月05日,9小时35分17秒,N 40.47.701度,E 111.41.699度,1056m,4.4448km/s,9,343.9度
2017年10月05日,9小时35分18秒,N 40.47.702度,E 111.41.700度,1056m,3.7040km/s,9,343.9度
2017年10月05日,9小时35分19秒,N 40.47.702度,E 111.41.700度,1057m,4.2596km/s,9,343.9度
2017年10月05日,9小时35分20秒,N 40.47.703度,E 111.41.701度,1057m,5.7412km/s,9,333.9度
2017年10月05日,9小时35分21秒,N 40.47.704度,E 111.41.700度,1057m,10.5564km/s,8,334.5度
2017年10月05日,9小时35分22秒,N 40.47.706度,E 111.41.700度,1057m,17.4088km/s,8,335.5度
2017年10月05日,9小时35分23秒,N 40.47.710度,E 111.41.699度,1057m,24.2612km/s,8,336.1度
2017年10月05日,9小时35分24秒,N 40.47.713度,E 111.41.698度,1057m,24.2612km/s,8,336.7度
